2017-04-03 00:09:35,432 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: niit.com:shoppingCartFrontEnd:0.0.1-SNAPSHOT @ F:\DT Git Demo\ShoppingDemo\shoppingCartFrontEnd\pom.xml.
2017-04-03 00:10:55,040 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-03 00:10:55,140 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-03 00:10:55,145 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-03 00:10:55,160 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\DT Git Demo\ShoppingDemo\MusicDemo\src\test\resources
2017-04-03 00:10:57,701 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-03 00:10:57,716 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-03 00:10:57,718 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-03 00:10:57,732 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\DT Git Demo\ShoppingDemo\shoppingCartFrontEnd\src\test\resources
2017-04-03 00:14:47,988 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' F:\DT Git Demo\ShoppingDemo\sampledemo\pom.xml
2017-04-03 00:14:50,005 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: niit.com:sampledemo:0.0.1-SNAPSHOT @ F:\DT Git Demo\ShoppingDemo\sampledemo\pom.xml.
2017-04-03 00:14:50,688 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sampledemo/src/main/java
2017-04-03 00:14:50,689 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /sampledemo/src/main/resources
